date,timechuo,open,high,low,close,vol
2018/6/15 8:00,1529020800,100.89,100.98,94.49,95.5,155895.2462
2018/6/16 8:00,1529107200,95.5,97.58,92.68,96.66,130013.9953
2018/6/17 8:00,1529193600,96.65,98.2,94.51,94.95,119733.0926
2018/6/18 8:00,1529280000,94.95,99.88,92.89,98.7,161804.4625
2018/6/19 8:00,1529366400,98.79,120,96.91,98.67,130065.5113
2018/6/20 8:00,1529452800,98.67,99.13,95.21,97.72,141985.6417
2018/6/21 8:00,1529539200,97.72,99.3,96,96.72,137564.825
2018/6/22 8:00,1529625600,96.74,96.87,80.02,84.8,232108.914
2018/6/23 8:00,1529712000,84.75,86.77,81.31,82.73,165849.7556
2018/6/24 8:00,1529798400,82.76,83.63,73.22,80.37,250304.8192
2018/6/25 8:00,1529884800,80.46,84.38,78.55,81.48,164736.3733
2018/6/26 8:00,1529971200,81.48,81.99,75,75.54,118123.1803
2018/6/27 8:00,1530057600,75.63,81.75,74.87,80.6,139175.3341
2018/6/28 8:00,1530144000,80.71,81.43,73.89,74.05,179829.0657
2018/6/29 8:00,1530230400,74.24,80.79,72.15,78.94,182184.8645
2018/6/30 8:00,1530316800,78.94,84.59,78.84,81.33,170407.2992
2018/7/1 8:00,1530403200,81.34,81.83,77.73,79.95,145195.4048
2018/7/2 8:00,1530489600,79.96,87.06,78.11,85.36,171028.1317
2018/7/3 8:00,1530576000,85.36,90,83.64,85.09,192538.9875
2018/7/4 8:00,1530662400,84.87,89.01,83.98,85.28,119209.8786
2018/7/5 8:00,1530748800,85.23,87.11,81.77,83.33,170561.6332
2018/7/6 8:00,1530835200,83.26,84.23,80.67,83.1,156241.9872
2018/7/7 8:00,1530921600,83.1,85.35,79.4,84.79,161497.8695
2018/7/8 8:00,1531008000,84.88,85.7,81.81,82.22,151162.899
2018/7/9 8:00,1531094400,82.26,83.12,79.8,80.46,164942.791
2018/7/10 8:00,1531180800,80.58,80.62,74.25,75.81,211707.9717
2018/7/11 8:00,1531267200,75.79,80.98,75.31,78.18,192182.0067
2018/7/12 8:00,1531353600,78.18,78.25,74,76.79,181966.7424
2018/7/13 8:00,1531440000,76.82,78.6,74.96,76.53,167655.2693
2018/7/14 8:00,1531526400,76.52,77.5,75.37,76.18,142798.4544
2018/7/15 8:00,1531612800,76.19,79.5,75.1,78.54,149955.8008
2018/7/16 8:00,1531699200,78.54,84.28,77.6,83.49,182917.2207
2018/7/17 8:00,1531785600,83.65,90,81.3,89.06,204689.4776
2018/7/18 8:00,1531872000,88.99,94.41,84.2,86.21,207474.928
2018/7/19 8:00,1531958400,86.26,89,84.8,86,154334.9518
2018/7/20 8:00,1532044800,86.1,86.69,80.72,81.87,172067.6313
2018/7/21 8:00,1532131200,81.84,84.93,79.5,83.44,134142.4487
2018/7/22 8:00,1532217600,83.42,84.2,81.78,82.21,137457.8165
2018/7/23 8:00,1532304000,82.2,85.96,81.1,81.38,143669.0355
2018/7/24 8:00,1532390400,81.43,89.79,80.79,89.12,207891.1757
2018/7/25 8:00,1532476800,89.02,90.75,84.81,86.38,164176.7992
2018/7/26 8:00,1532563200,86.38,87.9,82.75,83.37,151787.8452
2018/7/27 8:00,1532649600,83.51,85.12,81.37,84.39,158734.4442
2018/7/28 8:00,1532736000,84.39,84.7,82.26,84.07,124974.4699
2018/7/29 8:00,1532822400,84.1,85.38,83.22,83.85,119512.7544
2018/7/30 8:00,1532908800,83.89,84.62,79.76,82.18,146947.0501
2018/7/31 8:00,1532995200,82.16,82.63,76.02,78.69,157911.8041
2018/8/1 8:00,1533081600,78.91,79.06,75.78,77.53,139634.7977
2018/8/2 8:00,1533168000,77.62,78.46,75.33,76.11,134458.4997
