date,timechuo,open,high,low,close,vol
2019-01-20 23:52,1547999520,2.3014,2.3022,2.3007,2.3022,2654.09
2019-01-20 23:53,1547999580,2.3019,2.3022,2.3005,2.3012,5304.52
2019-01-20 23:54,1547999640,2.3012,2.3022,2.3004,2.3017,2678.69
2019-01-20 23:55,1547999700,2.3022,2.303,2.3013,2.3026,3395.42
2019-01-20 23:56,1547999760,2.3026,2.303,2.3007,2.303,3926.43
2019-01-20 23:57,1547999820,2.302,2.3032,2.3009,2.302,3288.87
2019-01-20 23:58,1547999880,2.3011,2.3025,2.2991,2.2991,2317.32
2019-01-20 23:59,1547999940,2.2997,2.2997,2.2932,2.2963,8700.13
2019-01-21 00:00,1548000000,2.2958,2.3031,2.2948,2.2995,8015.57
2019-01-21 00:01,1548000060,2.2995,2.2995,2.295,2.2968,4201.64
2019-01-21 00:02,1548000120,2.2968,2.2968,2.2853,2.2924,30264.17
2019-01-21 00:03,1548000180,2.2937,2.3051,2.2932,2.2969,25337.1
2019-01-21 00:04,1548000240,2.2959,2.3058,2.2947,2.301,11714.52
2019-01-21 00:05,1548000300,2.3029,2.3033,2.3,2.3033,6009.54
2019-01-21 00:06,1548000360,2.3033,2.3033,2.3014,2.3033,3702.11
2019-01-21 00:07,1548000420,2.3033,2.3072,2.3022,2.3056,8238.75
2019-01-21 00:08,1548000480,2.3059,2.3128,2.3055,2.3084,19410.68
2019-01-21 00:09,1548000540,2.3092,2.3103,2.3081,2.3101,1479.52
2019-01-21 00:10,1548000600,2.3094,2.3094,2.3042,2.3073,6525.77
2019-01-21 00:11,1548000660,2.3072,2.3077,2.305,2.306,2715.04
2019-01-21 00:12,1548000720,2.3058,2.3059,2.3042,2.3042,2025.43
2019-01-21 00:13,1548000780,2.3049,2.3085,2.3043,2.307,2026.39
2019-01-21 00:14,1548000840,2.3063,2.3072,2.3052,2.3063,2226.63
2019-01-21 00:15,1548000900,2.3067,2.3071,2.3058,2.3065,1331.75
2019-01-21 00:16,1548000960,2.3065,2.3118,2.3059,2.3103,4797.95
2019-01-21 00:17,1548001020,2.3096,2.3099,2.3081,2.3081,2615.89
2019-01-21 00:18,1548001080,2.3098,2.3098,2.3058,2.3058,2729.28
2019-01-21 00:19,1548001140,2.3065,2.3081,2.3056,2.3074,2150.17
2019-01-21 00:20,1548001200,2.3081,2.3092,2.3061,2.3064,2846.1
2019-01-21 00:21,1548001260,2.3074,2.3074,2.3055,2.3068,2402.96
2019-01-21 00:22,1548001320,2.3068,2.3075,2.3062,2.3068,1633.45
2019-01-21 00:23,1548001380,2.3075,2.3085,2.3057,2.3076,1368.94
2019-01-21 00:24,1548001440,2.3067,2.308,2.3062,2.308,2447.37
2019-01-21 00:25,1548001500,2.309,2.3118,2.3081,2.3091,2756.82
2019-01-21 00:26,1548001560,2.3109,2.3114,2.3101,2.3114,2215.9
2019-01-21 00:27,1548001620,2.3118,2.3128,2.3088,2.3102,2628.75
2019-01-21 00:28,1548001680,2.3095,2.312,2.3095,2.3106,1860.55
2019-01-21 00:29,1548001740,2.3106,2.3111,2.3098,2.3109,1582.69
2019-01-21 00:30,1548001800,2.3109,2.3115,2.3094,2.3111,2655.96
2019-01-21 00:31,1548001860,2.3105,2.3132,2.3101,2.3125,2858.78
2019-01-21 00:32,1548001920,2.3129,2.3132,2.3113,2.3124,2496.26
2019-01-21 00:33,1548001980,2.3124,2.314,2.3102,2.311,7961.0
2019-01-21 00:34,1548002040,2.311,2.3118,2.3099,2.3112,3529.59
2019-01-21 00:35,1548002100,2.3116,2.3117,2.3102,2.3107,1992.38
2019-01-21 00:36,1548002160,2.3107,2.311,2.3091,2.3109,3680.24
2019-01-21 00:37,1548002220,2.3092,2.3105,2.3076,2.3078,3607.29
2019-01-21 00:38,1548002280,2.3084,2.3085,2.3068,2.3069,1886.06
2019-01-21 00:39,1548002340,2.307,2.3075,2.3058,2.3067,3329.11
2019-01-21 00:40,1548002400,2.3074,2.3077,2.3058,2.3075,2099.49
2019-01-21 00:41,1548002460,2.3079,2.3079,2.3047,2.3054,2328.75
2019-01-21 00:42,1548002520,2.3054,2.3067,2.3048,2.3062,1472.01
2019-01-21 00:43,1548002580,2.3053,2.3081,2.3049,2.3081,2256.62
2019-01-21 00:44,1548002640,2.3077,2.312,2.3067,2.3111,5539.01
2019-01-21 00:45,1548002700,2.3111,2.3116,2.3099,2.3102,3921.39
2019-01-21 00:46,1548002760,2.3096,2.3112,2.3096,2.3104,1103.69
2019-01-21 00:47,1548002820,2.3103,2.311,2.3101,2.3106,1257.04
2019-01-21 00:48,1548002880,2.3106,2.3106,2.3099,2.3106,519.01
2019-01-21 00:49,1548002940,2.3107,2.3107,2.3095,2.3106,1432.82
2019-01-21 00:50,1548003000,2.3095,2.3113,2.3095,2.3113,1281.47
2019-01-21 00:51,1548003060,2.3108,2.3112,2.3097,2.3107,1486.28
2019-01-21 00:52,1548003120,2.3106,2.3111,2.31,2.3103,889.59
2019-01-21 00:53,1548003180,2.3101,2.3109,2.3095,2.3103,1435.57
2019-01-21 00:54,1548003240,2.3096,2.3108,2.3096,2.3105,831.26
2019-01-21 00:55,1548003300,2.3108,2.311,2.3096,2.311,1147.48
