date,timechuo,open,high,low,close,vol
2019-06-23 11:33,1561260780,313.3,313.53,313.12,313.51,142.90992
2019-06-23 11:34,1561260840,313.46,313.86,313.25,313.61,383.99393
2019-06-23 11:35,1561260900,313.62,314.12,313.59,313.96,72.26802
2019-06-23 11:36,1561260960,314.03,314.1,313.77,313.9,179.18463
2019-06-23 11:37,1561261020,313.86,314.28,313.86,314.19,147.52059
2019-06-23 11:38,1561261080,314.05,314.42,314.05,314.42,174.0373
2019-06-23 11:39,1561261140,314.36,314.42,314.1,314.23,160.26421
2019-06-23 11:40,1561261200,314.21,314.23,314.01,314.01,90.69297
2019-06-23 11:41,1561261260,314.01,314.21,313.82,313.88,345.0507
2019-06-23 11:42,1561261320,313.96,314.04,313.86,313.93,76.46053
2019-06-23 11:43,1561261380,313.93,314.14,313.92,314.02,99.68706
2019-06-23 11:44,1561261440,314.01,314.11,313.88,314.06,111.38176
2019-06-23 11:45,1561261500,314.09,314.41,313.99,314.33,81.84962
2019-06-23 11:46,1561261560,314.34,314.55,314.22,314.5,125.04089
2019-06-23 11:47,1561261620,314.51,314.83,314.51,314.51,138.70536
2019-06-23 11:48,1561261680,314.55,314.99,314.52,314.96,152.81195
2019-06-23 11:49,1561261740,314.9,315.0,314.83,314.98,175.73229
2019-06-23 11:50,1561261800,314.9,315.0,314.81,314.98,135.5078
2019-06-23 11:51,1561261860,314.99,315.42,314.98,315.31,251.03256
2019-06-23 11:52,1561261920,315.34,315.88,315.34,315.81,994.17225
2019-06-23 11:53,1561261980,315.81,316.0,315.74,315.9,110.94435
2019-06-23 11:54,1561262040,315.91,315.99,315.49,315.6,2008.433
2019-06-23 11:55,1561262100,315.68,315.68,315.06,315.25,137.66497
2019-06-23 11:56,1561262160,315.24,315.48,315.11,315.25,185.13399
2019-06-23 11:57,1561262220,315.2,315.56,315.13,315.52,130.8485
2019-06-23 11:58,1561262280,315.5,315.54,315.3,315.39,68.15855
2019-06-23 11:59,1561262340,315.34,315.6,315.32,315.43,285.48984
2019-06-23 12:00,1561262400,315.43,316.18,315.31,315.92,350.7107
2019-06-23 12:01,1561262460,315.93,316.45,315.91,316.35,478.27309
2019-06-23 12:02,1561262520,316.33,316.45,316.0,316.21,1187.23053
2019-06-23 12:03,1561262580,316.21,316.23,315.53,315.65,906.31708
2019-06-23 12:04,1561262640,315.66,315.75,315.46,315.5,149.54597
2019-06-23 12:05,1561262700,315.5,315.55,315.17,315.17,202.3241
2019-06-23 12:06,1561262760,315.17,315.17,314.71,314.71,322.84756
2019-06-23 12:07,1561262820,314.8,314.94,314.65,314.78,138.40555
2019-06-23 12:08,1561262880,314.85,314.91,314.64,314.68,73.37795
2019-06-23 12:09,1561262940,314.64,314.69,314.43,314.46,129.03421
2019-06-23 12:10,1561263000,314.47,314.47,314.05,314.24,199.00114
2019-06-23 12:11,1561263060,314.14,314.55,314.11,314.46,376.45143
2019-06-23 12:12,1561263120,314.4,314.82,314.24,314.52,285.27974
2019-06-23 12:13,1561263180,314.43,315.16,314.43,315.14,277.24359
2019-06-23 12:14,1561263240,315.13,315.24,314.78,314.78,143.93231
2019-06-23 12:15,1561263300,314.81,314.81,314.45,314.45,73.22337
2019-06-23 12:16,1561263360,314.41,314.52,314.01,314.11,213.66141
2019-06-23 12:17,1561263420,314.05,314.19,313.88,313.95,140.47737
2019-06-23 12:18,1561263480,314.04,314.19,313.86,314.17,172.41561
2019-06-23 12:19,1561263540,314.05,314.39,314.05,314.39,137.16791
2019-06-23 12:20,1561263600,314.42,314.42,314.2,314.26,72.82322
2019-06-23 12:21,1561263660,314.28,314.38,314.01,314.13,122.86628
2019-06-23 12:22,1561263720,314.21,314.51,314.13,314.49,234.67162
2019-06-23 12:23,1561263780,314.48,314.68,314.29,314.55,145.41595
2019-06-23 12:24,1561263840,314.56,314.61,314.12,314.13,206.20518
2019-06-23 12:25,1561263900,314.23,314.58,314.08,314.18,229.31802
2019-06-23 12:26,1561263960,314.17,314.59,314.17,314.49,144.03659
2019-06-23 12:27,1561264020,314.38,314.64,314.04,314.21,107.18022
2019-06-23 12:28,1561264080,314.17,314.21,313.73,313.75,100.69137
2019-06-23 12:29,1561264140,313.67,313.97,313.42,313.97,412.75296
2019-06-23 12:30,1561264200,313.78,314.07,313.7,313.97,100.64941
2019-06-23 12:31,1561264260,313.95,314.66,313.95,314.51,262.46017
2019-06-23 12:32,1561264320,314.52,314.8,314.22,314.23,218.29805
2019-06-23 12:33,1561264380,314.23,314.27,313.84,313.88,91.49891
2019-06-23 12:34,1561264440,313.81,313.97,313.72,313.85,80.71215
2019-06-23 12:35,1561264500,313.92,314.38,313.82,314.3,168.89647
2019-06-23 12:36,1561264560,314.3,314.47,314.04,314.35,79.85341
2019-06-23 12:37,1561264620,314.36,314.36,313.97,313.99,115.84281
2019-06-23 12:38,1561264680,313.92,314.04,313.78,313.92,69.31892
2019-06-23 12:39,1561264740,313.93,313.99,313.75,313.89,69.73156
2019-06-23 12:40,1561264800,313.84,314.31,313.84,314.24,55.79682
2019-06-23 12:41,1561264860,314.26,314.45,314.19,314.41,64.02684
2019-06-23 12:42,1561264920,314.28,314.5,314.28,314.31,148.93158
2019-06-23 12:43,1561264980,314.34,314.34,314.04,314.04,115.33345
2019-06-23 12:44,1561265040,314.06,314.21,314.0,314.21,97.84649
2019-06-23 12:45,1561265100,314.2,314.73,314.12,314.66,382.07626
2019-06-23 12:46,1561265160,314.7,314.7,314.26,314.59,196.74151
2019-06-23 12:47,1561265220,314.52,314.77,314.5,314.63,73.13912
2019-06-23 12:48,1561265280,314.68,314.76,314.54,314.64,99.31894
2019-06-23 12:49,1561265340,314.63,315.0,314.61,314.85,399.27355
2019-06-23 12:50,1561265400,314.86,315.39,314.75,314.95,1718.14697
2019-06-23 12:51,1561265460,314.95,315.5,314.89,315.28,233.75893
2019-06-23 12:52,1561265520,315.27,315.44,315.08,315.36,395.319
2019-06-23 12:53,1561265580,315.38,315.5,315.0,315.0,508.9079
2019-06-23 12:54,1561265640,314.95,315.52,314.73,314.86,356.38188
2019-06-23 12:55,1561265700,314.93,315.58,314.93,315.46,91.35567
2019-06-23 12:56,1561265760,315.48,315.48,315.21,315.36,242.8877
2019-06-23 12:57,1561265820,315.31,315.42,315.02,315.08,82.62017
2019-06-23 12:58,1561265880,315.0,315.03,314.69,314.69,280.43612
2019-06-23 12:59,1561265940,314.81,315.07,314.75,314.98,48.78413
2019-06-23 13:00,1561266000,314.99,314.99,314.81,314.94,125.48949
2019-06-23 13:01,1561266060,314.89,315.08,314.75,314.83,143.5509
2019-06-23 13:02,1561266120,314.84,315.24,314.83,315.24,137.35637
2019-06-23 13:03,1561266180,315.22,315.34,315.06,315.12,188.33976
2019-06-23 13:04,1561266240,315.15,315.34,314.92,315.02,78.80174
2019-06-23 13:05,1561266300,315.03,315.14,314.88,315.07,190.03448
2019-06-23 13:06,1561266360,314.99,315.34,314.85,315.02,195.75489
2019-06-23 13:07,1561266420,315.01,315.25,315.01,315.09,114.67421
2019-06-23 13:08,1561266480,315.16,315.21,314.73,314.76,250.60325
2019-06-23 13:09,1561266540,314.76,315.21,314.76,315.01,116.03985
2019-06-23 13:10,1561266600,315.05,315.25,314.89,315.18,121.27869
2019-06-23 13:11,1561266660,315.23,315.4,314.95,315.17,220.21882
2019-06-23 13:12,1561266720,315.15,315.39,315.15,315.24,88.96146
2019-06-23 13:13,1561266780,315.2,315.43,315.11,315.4,186.19606
2019-06-23 13:14,1561266840,315.4,315.5,315.23,315.32,86.04079
2019-06-23 13:15,1561266900,315.36,315.4,314.87,314.99,206.07783
2019-06-23 13:16,1561266960,315.01,315.08,314.62,314.66,319.78226
2019-06-23 13:17,1561267020,314.66,315.26,314.2,315.19,556.7675
2019-06-23 13:18,1561267080,315.18,315.26,314.28,314.84,724.20379
2019-06-23 13:19,1561267140,314.78,315.39,314.75,315.08,179.81427
2019-06-23 13:20,1561267200,315.09,315.16,314.2,314.48,682.11449
2019-06-23 13:21,1561267260,314.46,314.73,314.39,314.56,186.62178
2019-06-23 13:22,1561267320,314.64,314.64,314.24,314.59,215.98907
2019-06-23 13:23,1561267380,314.58,315.08,314.46,314.82,168.01569
2019-06-23 13:24,1561267440,314.9,314.97,314.61,314.67,176.89206
2019-06-23 13:25,1561267500,314.7,315.07,314.7,314.81,290.21577
2019-06-23 13:26,1561267560,314.83,315.0,314.74,314.89,132.09397
2019-06-23 13:27,1561267620,314.84,315.06,314.8,315.01,220.3209
2019-06-23 13:28,1561267680,315.1,315.61,314.88,315.33,347.47095
2019-06-23 13:29,1561267740,315.31,315.5,315.2,315.35,135.5084
2019-06-23 13:30,1561267800,315.24,315.42,315.09,315.4,54.46003
2019-06-23 13:31,1561267860,315.31,315.49,315.19,315.43,67.84045
2019-06-23 13:32,1561267920,315.44,315.71,315.34,315.71,209.46399
2019-06-23 13:33,1561267980,315.71,316.0,315.69,315.9,236.29893
2019-06-23 13:34,1561268040,315.96,316.15,315.74,315.83,305.78989
2019-06-23 13:35,1561268100,315.8,315.88,315.67,315.88,62.84773
2019-06-23 13:36,1561268160,315.88,316.2,315.8,316.2,213.38567
2019-06-23 13:37,1561268220,316.17,316.43,316.05,316.29,110.29133
2019-06-23 13:38,1561268280,316.29,316.66,316.26,316.51,124.71628
2019-06-23 13:39,1561268340,316.54,316.58,316.2,316.22,155.29478
2019-06-23 13:40,1561268400,316.24,316.39,315.92,315.93,474.43746
2019-06-23 13:41,1561268460,316.0,316.13,315.77,315.99,141.07875
2019-06-23 13:42,1561268520,315.99,316.26,315.82,316.22,98.82429
2019-06-23 13:43,1561268580,316.14,316.26,316.05,316.12,82.03169
2019-06-23 13:44,1561268640,316.22,316.5,315.8,316.12,1758.12617
2019-06-23 13:45,1561268700,316.14,316.42,315.92,316.14,308.41702
2019-06-23 13:46,1561268760,316.05,316.5,315.97,316.46,200.50365
2019-06-23 13:47,1561268820,316.37,316.5,316.26,316.41,276.70088
2019-06-23 13:48,1561268880,316.41,316.46,316.09,316.23,180.07236
2019-06-23 13:49,1561268940,316.23,316.4,316.23,316.29,70.45156
2019-06-23 13:50,1561269000,316.37,316.72,316.32,316.55,293.51883
2019-06-23 13:51,1561269060,316.57,316.93,316.5,316.84,184.59976
2019-06-23 13:52,1561269120,316.85,317.1,316.74,317.06,160.90385
2019-06-23 13:53,1561269180,317.04,317.48,317.03,317.31,378.62621
2019-06-23 13:54,1561269240,317.33,317.33,316.64,316.65,216.40177
2019-06-23 13:55,1561269300,316.75,316.78,316.28,316.48,330.73118
2019-06-23 13:56,1561269360,316.5,317.17,316.43,317.05,272.76295
2019-06-23 13:57,1561269420,317.06,317.47,316.92,317.24,412.64034
